dev_eui,created_at,temperature_c,humidity,co2,pressure,smoke_detected
"0025CA0000000F49","2025-11-08 07:08:49","2.44","89.92","f","f","f"
"0025CA0000000F49","2025-11-08 06:59:14","3.89","100","f","f","f"
"0025CA0000000F49","2025-11-08 06:58:59","3.89","100","f","f","f"
"0025CA0000000F49","2025-11-08 06:58:37","3.89","100","f","f","f"
"0025CA0000000F49","2025-11-08 06:48:19","2.79","100","f","f","f"
"0025CA0000000F49","2025-11-08 06:38:09","1.54","93.64","f","f","f"
"0025CA0000000F49","2025-11-08 06:27:42","3","99.4","f","f","f"
"0025CA0000000F49","2025-11-08 06:17:50","2.18","99.07","f","f","f"
"0025CA0000000F49","2025-11-08 06:17:44","2.18","99.07","f","f","f"
"0025CA0000000F49","2025-11-08 06:17:37","2.18","99.07","f","f","f"
"0025CA0000000F49","2025-11-08 06:07:33","2.34","86.76","f","f","f"
"0025CA0000000F49","2025-11-08 06:07:26","2.34","86.76","f","f","f"
"0025CA0000000F49","2025-11-08 06:07:20","2.34","86.76","f","f","f"
"0025CA0000000F49","2025-11-08 05:57:15","2.96","100","f","f","f"
"0025CA0000000F49","2025-11-08 05:57:09","2.96","100","f","f","f"
"0025CA0000000F49","2025-11-08 05:47:11","2.25","96.29","f","f","f"
"0025CA0000000F49","2025-11-08 05:47:05","2.25","96.29","f","f","f"
"0025CA0000000F49","2025-11-08 05:46:57","2.25","96.29","f","f","f"
"0025CA0000000F49","2025-11-08 05:36:47","3.71","100","f","f","f"
"0025CA0000000F49","2025-11-08 05:26:37","3.61","100","f","f","f"
"0025CA0000000F49","2025-11-08 05:16:27","3","100","f","f","f"
"0025CA0000000F49","2025-11-08 05:06:18","2.46","98.82","f","f","f"
"0025CA0000000F49","2025-11-08 04:56:07","2.8","93.18","f","f","f"
"0025CA0000000F49","2025-11-08 04:45:57","3.53","100","f","f","f"
"0025CA0000000F49","2025-11-08 04:35:48","2.49","98.66","f","f","f"
"0025CA0000000F49","2025-11-08 04:25:38","3.21","99.47","f","f","f"
"0025CA0000000F49","2025-11-08 04:15:27","2.85","100","f","f","f"
"0025CA0000000F49","2025-11-08 04:05:17","2.01","92.46","f","f","f"
"0025CA0000000F49","2025-11-08 03:55:07","3.73","100","f","f","f"
"0025CA0000000F49","2025-11-08 03:44:57","3.53","100","f","f","f"
"0025CA0000000F49","2025-11-08 03:34:47","2.37","96.28","f","f","f"
"0025CA0000000F49","2025-11-08 03:24:35","2.91","91.46","f","f","f"
"0025CA0000000F49","2025-11-08 03:14:25","3.71","100","f","f","f"
"0025CA0000000F49","2025-11-08 03:04:15","3.22","100","f","f","f"
"0025CA0000000F49","2025-11-08 02:54:06","3.47","97.27","f","f","f"
"0025CA0000000F49","2025-11-08 02:43:47","3.82","100","f","f","f"
"0025CA0000000F49","2025-11-08 02:33:37","3.59","100","f","f","f"
"0025CA0000000F49","2025-11-08 02:23:27","3.31","100","f","f","f"
"0025CA0000000F49","2025-11-08 02:13:16","2.91","100","f","f","f"
"0025CA0000000F49","2025-11-08 02:03:06","2.39","99.72","f","f","f"
"0025CA0000000F49","2025-11-08 01:53:02","1.89","95.12","f","f","f"
"0025CA0000000F49","2025-11-08 01:52:56","1.89","95.12","f","f","f"
"0025CA0000000F49","2025-11-08 01:42:45","2.69","97.7","f","f","f"
"0025CA0000000F49","2025-11-08 01:32:35","2.55","96.37","f","f","f"
"0025CA0000000F49","2025-11-08 01:22:26","3.83","100","f","f","f"
"0025CA0000000F49","2025-11-08 01:12:16","3.59","100","f","f","f"
"0025CA0000000F49","2025-11-08 01:02:23","3.25","100","f","f","f"
"0025CA0000000F49","2025-11-08 01:02:17","3.25","100","f","f","f"
"0025CA0000000F49","2025-11-08 01:02:10","3.25","100","f","f","f"
"0025CA0000000F49","2025-11-08 01:02:05","3.25","100","f","f","f"
"0025CA0000000F49","2025-11-08 00:52:12","2.81","100","f","f","f"
"0025CA0000000F49","2025-11-08 00:52:05","2.81","100","f","f","f"
"0025CA0000000F49","2025-11-08 00:52:00","2.81","100","f","f","f"
"0025CA0000000F49","2025-11-08 00:51:53","2.81","100","f","f","f"
"0025CA0000000F49","2025-11-08 00:41:43","2.48","97.89","f","f","f"
"0025CA0000000F49","2025-11-08 00:31:33","3.83","100","f","f","f"
"0025CA0000000F49","2025-11-08 00:21:22","3.63","100","f","f","f"
"0025CA0000000F49","2025-11-08 00:11:12","3.33","100","f","f","f"
"0025CA0000000F49","2025-11-08 00:01:02","2.93","100","f","f","f"
"0025CA0000000F49","2025-11-07 23:50:52","2.47","99.62","f","f","f"
"0025CA0000000F49","2025-11-07 23:40:42","2.08","94.68","f","f","f"
"0025CA0000000F49","2025-11-07 23:30:31","3.39","100","f","f","f"
"0025CA0000000F49","2025-11-07 23:20:21","2.93","100","f","f","f"
"0025CA0000000F49","2025-11-07 23:10:11","2.52","98.41","f","f","f"
"0025CA0000000F49","2025-11-07 23:00:01","3.36","99.35","f","f","f"
"0025CA0000000F49","2025-11-07 22:49:51","3.71","100","f","f","f"
"0025CA0000000F49","2025-11-07 22:39:40","3.41","100","f","f","f"
"0025CA0000000F49","2025-11-07 22:29:31","3.05","100","f","f","f"
"0025CA0000000F49","2025-11-07 22:19:21","2.6","99.48","f","f","f"
"0025CA0000000F49","2025-11-07 22:09:11","2.53","95.29","f","f","f"
"0025CA0000000F49","2025-11-07 21:59:01","3.74","100","f","f","f"
"0025CA0000000F49","2025-11-07 21:48:42","3.37","100","f","f","f"
"0025CA0000000F49","2025-11-07 21:38:32","2.64","99.7","f","f","f"
"0025CA0000000F49","2025-11-07 21:28:22","2.12","92.94","f","f","f"
"0025CA0000000F49","2025-11-07 21:18:11","3.21","100","f","f","f"
"0025CA0000000F49","2025-11-07 21:08:07","2.55","99.44","f","f","f"
"0025CA0000000F49","2025-11-07 21:08:00","2.55","99.44","f","f","f"
"0025CA0000000F49","2025-11-07 20:57:50","2.23","94.56","f","f","f"
"0025CA0000000F49","2025-11-07 20:47:40","3.66","100","f","f","f"
"0025CA0000000F49","2025-11-07 20:37:30","3.22","100","f","f","f"
"0025CA0000000F49","2025-11-07 20:27:20","2.63","99.45","f","f","f"
"0025CA0000000F49","2025-11-07 20:17:28","2.26","94.48","f","f","f"
"0025CA0000000F49","2025-11-07 20:17:22","2.26","94.48","f","f","f"
"0025CA0000000F49","2025-11-07 20:17:15","2.26","94.48","f","f","f"
"0025CA0000000F49","2025-11-07 20:17:09","2.26","94.48","f","f","f"
"0025CA0000000F49","2025-11-07 20:06:58","3.23","100","f","f","f"
"0025CA0000000F49","2025-11-07 19:56:49","2.51","99.12","f","f","f"
"0025CA0000000F49","2025-11-07 19:46:44","1.8","90.48","f","f","f"
"0025CA0000000F49","2025-11-07 19:46:38","1.8","90.48","f","f","f"
"0025CA0000000F49","2025-11-07 19:36:39","2.81","99.92","f","f","f"
"0025CA0000000F49","2025-11-07 19:36:33","2.81","99.92","f","f","f"
"0025CA0000000F49","2025-11-07 19:36:26","2.81","99.92","f","f","f"
"0025CA0000000F49","2025-11-07 19:26:16","2.06","95.2","f","f","f"
"0025CA0000000F49","2025-11-07 19:16:06","2.63","90.77","f","f","f"
